Announcement date,Impacted trading day,Article
20/01/2025,21/01/2025,https://www.nytimes.com/2025/01/20/us/politics/trump-tariffs-executive-order.html
27/01/2025,27/01/2025,https://www.nytimes.com/2025/01/27/us/politics/trump-colombia-tariffs-deportation-flights.html
01/02/2025,03/02/2025,https://www.nytimes.com/2025/02/01/us/politics/canada-mexico-china-trump-tariffs.html
02/02/2025,03/02/2025,https://truthsocial.com/@realDonaldTrump/posts/113934450227067577
04/02/2025,04/02/2025,https://www.nytimes.com/2025/02/04/business/economy/trump-tariffs-china.html
07/02/2025,07/02/2025,https://www.nytimes.com/2025/02/07/business/economy/trump-tariffs-china-de-minimis-trade.html
10/02/2025,10/02/2025,https://www.nytimes.com/2025/02/10/us/politics/trump-tariffs-steel-aluminum.html
13/02/2025,13/02/2025,https://www.nytimes.com/2025/02/13/us/politics/trump-tariffs.html
14/02/2025,14/02/2025,https://www.nytimes.com/2025/02/14/us/politics/trump-auto-tariffs.html
25/02/2025,25/02/2025,https://www.nytimes.com/2025/02/25/us/politics/trump-tariffs-copper.html
27/02/2025,27/02/2025,https://www.nytimes.com/2025/02/27/us/politics/trump-tariffs-canada-mexico-china.html
01/03/2025,03/03/2025,https://www.nytimes.com/2025/03/01/business/economy/trump-trade-canada-lumber.html
04/03/2025,04/03/2025,https://www.nytimes.com/2025/03/04/business/economy/trump-tariffs-canada-mexico-china.html
05/03/2025,05/03/2025,https://www.nytimes.com/2025/03/05/us/politics/trump-lutnick-tariffs-reduction-canada-mexico.html
06/03/2025,06/03/2025,https://www.nytimes.com/2025/03/06/us/politics/trump-mexico-tariffs-suspended.html
10/03/2025,10/03/2025,https://www.nytimes.com/2025/03/10/us/politics/canada-tariffs-retaliation.html
11/03/2025,11/03/2025,https://www.nytimes.com/2025/03/11/us/politics/trump-canada-tariffs-metal.html
12/03/2025,12/03/2025,https://www.nytimes.com/live/2025/03/12/business/trump-tariffs-steel-aluminum
13/03/2025,13/03/2025,https://www.nytimes.com/live/2025/03/13/us/trump-tariff-government-news
24/03/2025,24/03/2025,https://www.nytimes.com/2025/03/24/us/politics/trump-tariffs-venezuela-oil.html
26/03/2025,26/03/2025,https://www.nytimes.com/live/2025/03/26/business/trump-tariffs-auto-cars#trump-tariffs-auto-cars
02/04/2025,02/04/2025,https://www.nytimes.com/2025/04/02/business/economy/trump-tariffs.html
02/04/2025,03/04/2025,Markets still pricing in the new information
04/04/2025,04/04/2025,https://www.nytimes.com/2025/04/04/business/china-trump-tariffs-retaliation.html
07/04/2025,07/04/2025,https://www.nytimes.com/2025/04/07/business/economy/trump-china-tariffs-threat.html
07/04/2025,08/04/2025,Markets still pricing in the new information
09/04/2025,09/04/2025,https://www.nytimes.com/2025/04/09/world/asia/china-us-tariff-trade.html
09/04/2025,10/04/2025,https://www.nytimes.com/2025/04/09/world/europe/eu-tariffs-trump.html
11/04/2025,11/04/2025,https://www.nytimes.com/2025/04/11/business/china-tariffs-125.html
13/04/2025,14/04/2025,https://www.nytimes.com/2025/04/13/us/politics/trump-tariffs-china-chips-technology.html
29/04/2025,29/04/2025,https://www.nytimes.com/live/2025/04/29/us/trump-news#a-key-lawmaker-proposes-funding-for-aviation-safety-improvements
08/05/2025,08/05/2025,https://www.nytimes.com/live/2025/05/08/us/trump-uk-trade-news
12/05/2025,12/05/2025,https://www.nytimes.com/2025/05/12/business/china-us-tariffs.html
23/05/2025,23/05/2025,https://www.nytimes.com/2025/05/23/us/politics/trump-tariffs-eu-apple.html
25/05/2025,27/05/2025,https://www.nytimes.com/2025/05/25/us/politics/trump-european-union-tariff.html#commentsContainer
04/06/2025,04/06/2025,https://www.nytimes.com/live/2025/06/04/us/trump-news
16/06/2025,16/06/2025,https://www.nytimes.com/2025/06/16/us/uk-trade-trump-starmer-tariffs.html
27/06/2025,27/06/2025,https://www.nytimes.com/2025/06/27/world/asia/us-china-trade.html
02/07/2025,02/07/2025,https://www.nytimes.com/2025/07/02/business/economy/trump-vietnam-trade-deal.html
09/07/2025,09/07/2025,https://www.nytimes.com/live/2025/07/09/us/trump-news#d639dfed-87a2-5568-b7aa-cf061e7aeb40
10/07/2025,10/07/2025,https://www.nytimes.com/2025/07/10/business/trump-copper-tariffs-prices.html
12/07/2025,14/07/2025,https://www.nytimes.com/2025/07/12/us/politics/europe-eu-tariffs-trade.html
